index, name, pcie.link.gen.current, pcie.link.width.current, memory.total [MiB]
0, NVIDIA GeForce RTX 4090, 4, 8, 24564 MiB
1, NVIDIA GeForce RTX 4090, 4, 8, 24564 MiB
